,0
1346,199383
1347,272380
1348,166226
1349,127024
1350,204505
1351,281946
1352,159109
1353,291859
1354,254591
1355,163413
1356,199
1357,296345
1358,179460
1359,15
1360,257769
1361,312267
1362,301257
1363,33604
1364,244191
1365,116
1366,303553
1367,200853
1368,216091
1369,39684
1370,353545
1371,268620
1372,332290
1373,151771
1374,72991
1375,1403
1376,246663
1377,244918
1378,113401
1379,167513
1380,98527
1381,215842
1382,316858
1383,205418
1384,272533
1385,283294
1386,225244
1387,22038
1388,253214
1389,227456
1390,302425
1391,878
1392,142992
1393,15818
1394,297985
1395,200057
1396,123570
1397,167270
1398,179572
1399,196202
1400,5716
1401,271088
1402,304285
1403,271615
1404,42487
1405,19999
1406,254018
1407,9446
1408,624
1409,2122
1410,139030
1411,326945
1412,322622
1413,3284
1414,29934
1415,194690
1416,283317
1417,254713
1418,142852
1419,138431
1420,94362
1421,272682
1422,19237
1423,216201
1424,291962
1425,339958
1426,300442
1427,176229
1428,166857
1429,75165
1430,256997
1431,223931
1432,175223
1433,244995
1434,1231
1435,287938
1436,37919
1437,191894
1438,2397
1439,66
1440,295293
1441,129051
1442,16496
1443,902
1444,55829
1445,146910
1446,169794
1447,181810
1448,340325
1449,165950
1450,6411
1451,249746
1452,196
1453,322289
1454,338628
1455,120523
1456,223740
1457,438
1458,492
1459,71836
1460,204
1461,22877
1462,340677
1463,299121
1464,298102
1465,481
1466,101785
1467,255675
1468,131366
1469,205317
1470,109125
1471,206915
1472,194626
1473,131325
1474,362452
1475,21550
1476,24417
1477,18745
1478,94104
1479,195544
1480,20542
1481,148943
1482,594
1483,172381
1484,1915
1485,201
1486,311715
1487,24827
1488,166571
1489,22
1490,3072
1491,3955
1492,299252
1493,143175
1494,172220
1495,210232
1496,257527
1497,232595
1498,43022
1499,309110
1500,176083
1501,1568
1502,258444
1503,300001
1504,246200
1505,3228
1506,116954
1507,233678
1508,7480
1509,252929
1510,310192
1511,242
1512,181524
1513,351526
1514,335609
1515,295895
1516,170604
1517,285533
1518,57925
1519,144041
1520,268586
1521,264198
1522,339906
1523,168
1524,13780
1525,115
1526,125548
1527,267127
1528,341530
1529,2065
1530,171662
1531,217398
1532,330038
1533,106662
1534,143986
1535,40209
1536,218530
1537,13884
1538,131111
1539,2987
1540,38862
1541,195043
1542,285265
1543,152
1544,312251
1545,29223
1546,193308
1547,298638
1548,230267
1549,38713
1550,122294
1551,156714
1552,92319
1553,1829
1554,119
1555,423
1556,47055
1557,195856
1558,192860
1559,38863
1560,230889
1561,33451
1562,215840
1563,347137
1564,214396
1565,22484
1566,34887
1567,34194
1568,148951
1569,245354
1570,929
1571,102435
1572,38343
1573,915
1574,149776
1575,619
1576,240567
1577,39339
1578,2081
1579,187700
1580,103185
1581,58936
1582,5206
1583,241477
1584,248158
1585,183231
1586,63170
1587,353470
1588,26
1589,1198
1590,17223
1591,244916
1592,254192
1593,40270
1594,259298
1595,41933
1596,3097
1597,31497
1598,323156
1599,149951
1600,269603
1601,14254
1602,276830
1603,312318
1604,221769
1605,90040
1606,34297
1607,61487
1608,24773
1609,193728
1610,10093
1611,3800
1612,12761
1613,55697
1614,275913
1615,1544
1616,222542
1617,30658
1618,295785
1619,99975
